"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4630","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","3.588164","0","10"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","1","1","8.252100","0","31"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","2","1","6.047739","0","14"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","2","1","5.742631","0","14"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","18","1","1","20.964878","0","193"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","3","1","6.784010","0","38"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","1","1","6.520528","0","34"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","3.487882","0","13"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","10","1","1","8.391623","0","68"
"/Water/Materials/WaterInfo/DrawWaterInfo.DrawWaterInfo","0","8","1","1","6.781556","0","43"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","14","1","1","14.620285","0","135"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","4.871907","0","19"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","32.803345","0","433"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","12.912720","0","118"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","3.903450","0","19"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","5","1","170.964890","0","10230"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","5.683246","0","8"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","4","1","3.969904","0","4"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","69","1","1","73.023048","0","2444"
